
#	Title	Page ID	Namespace	Size (bytes)	Last change
1	גבעת עוז	4133	(Article)	4317	20251205162800
2	שדה בוקר	4416	(Article)	15094	20260211150505
3	נען	5721	(Article)	19720	20260206135844
4	בית אלפא	5722	(Article)	30490	20260110062600
5	אדמית	5728	(Article)	6224	20251205165217
6	אליפז (קיבוץ)	5731	(Article)	3850	20251224112247
7	בית זרע	5732	(Article)	17560	20251205155455
8	בית ניר	5733	(Article)	7153	20250816140102
9	בית קמה	5734	(Article)	8320	20250918072726
10	ברעם	5735	(Article)	11606	20251205170744
11	ברקאי	5736	(Article)	5907	20230207142501
12	גבולות	5738	(Article)	9505	20251204120120
13	גזית	5739	(Article)	10701	20260202195419
14	גן שמואל	5742	(Article)	23434	20260128203105
15	געש	5743	(Article)	9372	20251205150232
16	געתון (קיבוץ)	5744	(Article)	4646	20251205165323
17	גשור	5746	(Article)	7335	20260304153547
18	גת (קיבוץ)	5747	(Article)	13418	20260303222017
19	דליה (קיבוץ)	5748	(Article)	12033	20251222200222
20	דן (קיבוץ)	5749	(Article)	12464	20251228062935
21	הזורע	5750	(Article)	9925	20251205162915
22	המעפיל	5752	(Article)	12707	20260212195941
23	העוגן	5753	(Article)	9887	20250901110954
24	הראל (קיבוץ)	5754	(Article)	7247	20251104141128
25	זיקים	5755	(Article)	17390	20260126200034
26	חורשים	5756	(Article)	3815	20251205145842
27	מעיין ברוך	6030	(Article)	7725	20260228151414
28	חולית (קיבוץ)	8691	(Article)	9900	20251203075652
29	אשבל (קיבוץ)	10444	(Article)	6678	20260218160353
30	כפר עזה	10908	(Article)	19455	20251203081414
31	אורטל	12556	(Article)	4281	20251205164240
32	עמיעד	12674	(Article)	4227	20251205171916
33	נתיב הל"ה	13575	(Article)	15419	20251127124246
34	מצפה שלם	13577	(Article)	4158	20260130053656
35	יחד (קיבוץ)	13768	(Article)	3041	20250602114305
36	לוטם (יישוב)	13787	(Article)	6729	20260122204445
37	מורן (קיבוץ)	13788	(Article)	4908	20260222102459
38	פלך (קיבוץ)	13798	(Article)	7004	20251205163323
39	תובל	13806	(Article)	4678	20251205163407
40	הגושרים	14001	(Article)	10229	20260124214946
41	שפיים	14617	(Article)	15838	20251205150343
42	גברעם	15806	(Article)	8542	20260110190738
43	רוחמה	17672	(Article)	13996	20251224181409
44	עין החורש	17937	(Article)	12396	20260215231201
45	מעברות	18176	(Article)	13376	20251216204533
46	יגור	18582	(Article)	16471	20260204064157
47	תל יוסף	18703	(Article)	13927	20260111012610
48	רביבים	19453	(Article)	16670	20260125181434
49	גבעת השלושה	19551	(Article)	12283	20260110134632
50	עין צורים	20950	(Article)	8614	20251123085110
51	כפר מסריק	21888	(Article)	9516	20260225164813
52	אילון	22101	(Article)	20157	20251205170237
53	דגניה א'	22584	(Article)	17988	20251205155302
54	אור הנר	22585	(Article)	8446	20260305071339
55	נווה אור	25242	(Article)	11375	20250508194014
56	מגידו (קיבוץ)	28024	(Article)	9045	20251205162825
57	יטבתה	28791	(Article)	20126	20260301095844
58	חפץ חיים (קיבוץ)	29520	(Article)	11431	20251214033041
59	טירת צבי	30579	(Article)	23110	20251205162142
60	משמר השרון	31475	(Article)	12933	20260212120536
61	רמת השופט	31666	(Article)	9246	20260118102403
62	רמת הכובש	32193	(Article)	18609	20251205150055
63	משמר העמק	32910	(Article)	26013	20251205162932
64	שדה אליהו	33039	(Article)	7050	20260107003538
65	נצר סרני	33182	(Article)	20565	20260103193840
66	משמר הנגב	36048	(Article)	13980	20260301021028
67	כברי	36366	(Article)	8002	20260101193600
68	רביד	38897	(Article)	8208	20260217061617
69	שדות ים	39313	(Article)	9852	20251023103222
70	נווה ים	42099	(Article)	9791	20251128160220
71	עין גב	42380	(Article)	22670	20260228220646
72	גדות	43444	(Article)	11406	20260201011607
73	ארז (קיבוץ)	45481	(Article)	7666	20241120183140
74	צרעה (קיבוץ)	47837	(Article)	7978	20250929184530
75	להבות חביבה	48026	(Article)	5599	20260213101618
76	שדה נחום	48973	(Article)	6836	20251218080423
77	בית השיטה	48991	(Article)	22169	20251205164944
78	מחניים	50984	(Article)	9803	20251205172802
79	עין השופט	52177	(Article)	9391	20251205162959
80	כפר מנחם	54047	(Article)	14485	20260124040739
81	מעלה החמישה	54300	(Article)	15547	20260222154437
82	חצרים	54852	(Article)	8606	20260118185406
83	מנרה	54981	(Article)	29737	20260304102707
84	להב (קיבוץ)	56329	(Article)	5901	20260116235600
85	מפלסים	58136	(Article)	8064	20250728134423
86	משאבי שדה	58137	(Article)	5024	20250911141740
87	נירים	58139	(Article)	18039	20260110002452
88	ניר יצחק	58140	(Article)	7038	20251222190312
89	ניר עם	58144	(Article)	10348	20251123085104
90	סופה (קיבוץ)	58150	(Article)	11832	20260216091843
91	עלומים (קיבוץ)	58152	(Article)	14048	20260209183414
92	מרחביה (קיבוץ)	61315	(Article)	9774	20260118174248
93	גשר (קיבוץ)	62407	(Article)	9288	20260107203121
94	בארי (קיבוץ)	64205	(Article)	17759	20260104145544
95	אלונים	64247	(Article)	15739	20251205160913
96	דגניה ב'	64363	(Article)	7116	20251205155339
97	לוחמי הגטאות	66098	(Article)	11764	20260220204048
98	בחן	66635	(Article)	9070	20251224113235
99	יחיעם	66852	(Article)	11628	20260203121255
100	ראש צורים	69308	(Article)	8396	20260216102159
101	אל-רום	69741	(Article)	11316	20251205164219
102	אפיק (קיבוץ)	69759	(Article)	5869	20251221231926
103	כפר חרוב	69785	(Article)	4384	20251205164419
104	בית גוברין (קיבוץ)	69916	(Article)	4643	20250902135444
105	מבוא חמה	70060	(Article)	5980	20251205164430
106	מרום גולן	70095	(Article)	8044	20251205165037
107	מצר (קיבוץ)	70119	(Article)	9398	20260131180244
108	עין זיוון	70343	(Article)	6512	20260304153754
109	כפר עציון	70376	(Article)	16195	20251205153403
110	חניתה	70557	(Article)	21267	20260211095402
111	גבעת חיים מאוחד	71933	(Article)	11937	20251113020145
112	צובה	72222	(Article)	12774	20251103084218
113	יד מרדכי	74216	(Article)	22072	20260215091642
114	גינוסר	75841	(Article)	18157	20260227060325
115	עין השלושה	76663	(Article)	12291	20260219223748
116	רבדים	82024	(Article)	12677	20260121094423
117	נערן	82161	(Article)	8468	20260301204644
118	חולדה (קיבוץ)	83468	(Article)	17690	20260222121506
119	בית העמק	84073	(Article)	12699	20251205165303
120	ניר אליהו	85009	(Article)	19750	20251205145932
121	מעלה גלבוע	85011	(Article)	9158	20251205161845
122	אושה	88085	(Article)	5166	20251123084949
123	בית רימון	88717	(Article)	7467	20251205162633
124	כיסופים	90765	(Article)	9098	20251027200833
125	רעים	90789	(Article)	13386	20250827130546
126	ניר עוז	90794	(Article)	9765	20251203083927
127	טללים	90803	(Article)	3051	20251006045748
128	צאלים	90805	(Article)	7265	20251123085111
129	אורים	90811	(Article)	7716	20251214145423
130	מגן (קיבוץ)	91590	(Article)	8973	20260204112101
131	עברון	92396	(Article)	6951	20260214224357
132	עין הנצי"ב	93891	(Article)	9869	20251207110045
133	שלוחות	93896	(Article)	8250	20251205161251
134	רשפים	93900	(Article)	8513	20260118172216
135	הקיבוץ הדתי	93903	(Article)	21815	20251027000309
136	רמת דוד	94365	(Article)	6591	20251205160327
137	אפק (קיבוץ)	94656	(Article)	8768	20251205165235
138	עין חרוד מאוחד	94678	(Article)	9562	20251218122931
139	גבעת חיים איחוד	94760	(Article)	19141	20250828144300
140	נווה חריף	94990	(Article)	3427	20250902153125
141	אילות	94992	(Article)	10829	20251201031813
142	יהל	94994	(Article)	4375	20260122155844
143	סמר	95045	(Article)	5293	20251108020338
144	נאות סמדר	95048	(Article)	18010	20251217141250
145	גרופית	95050	(Article)	15362	20260204105130
146	קטורה	95054	(Article)	8488	20241009201146
147	סעד	95062	(Article)	12071	20251203084342
148	חוקוק	95064	(Article)	11376	20260120082007
149	הסוללים	95065	(Article)	5410	20251205160546
150	ראש הנקרה (קיבוץ)	95069	(Article)	6231	20251205165758
151	משמרות	95243	(Article)	22049	20260105093231
152	שמיר (קיבוץ)	95244	(Article)	14802	20260224162039
153	כפר גלעדי	95245	(Article)	28738	20251226123130
154	דביר (קיבוץ)	95344	(Article)	6437	20260217074434
155	בית אורן	96151	(Article)	9771	20250807190119
156	שובל (קיבוץ)	96153	(Article)	19613	20251127153902
157	כרם שלום	96181	(Article)	16029	20260201012217
158	שומריה (קיבוץ)	96187	(Article)	8392	20260117230556
159	כרמים	96188	(Article)	4099	20260128100946
160	ברור חיל	96643	(Article)	19015	20251211005518
161	גבים	96648	(Article)	7986	20251123085006
162	דורות	96650	(Article)	7841	20251223135548
163	נחל עוז	96652	(Article)	20910	20251117065322
164	גלגל (קיבוץ)	96747	(Article)	4826	20251205153129
165	דפנה (קיבוץ)	96804	(Article)	10190	20260211105942
166	עין שמר	96808	(Article)	11012	20251224181201
167	אלומות	96829	(Article)	22397	20251205160005
168	אפיקים	97094	(Article)	16597	20251205155547
169	אשדות יעקב איחוד	97097	(Article)	16277	20251205155621
170	אשדות יעקב מאוחד	97099	(Article)	9811	20251205155604
171	אשדות יעקב	97105	(Article)	24729	20260103102021
172	גשר הזיו	97108	(Article)	11517	20251205165350
173	שמרת	97140	(Article)	8500	20251205165204
174	סער	97141	(Article)	4534	20251205165644
175	מצובה	97143	(Article)	11872	20251209195945
176	עין המפרץ	97146	(Article)	6365	20251205165729
177	מסילות	97147	(Article)	10234	20251205162010
178	דברת	97148	(Article)	5720	20260104162732
179	גבע	97336	(Article)	12355	20260301033457
180	גבת	97341	(Article)	12228	20250828113718
181	מירב	97344	(Article)	4799	20251205162047
182	חמדיה	97349	(Article)	8578	20251205162240
183	כפר רופין	97352	(Article)	7334	20251205162117
184	נווה איתן	97354	(Article)	6344	20251205155508
185	מסדה	97359	(Article)	46568	20251205160142
186	שער הגולן	97361	(Article)	19467	20260228204850
187	מעיין צבי	97364	(Article)	6976	20240710153304
188	כפר גליקסון	97367	(Article)	5189	20250622074325
189	כפר סאלד	97373	(Article)	15706	20251205171330
190	תל יצחק	97384	(Article)	8384	20260120110620
191	עמיר	97393	(Article)	24377	20260201014119
192	מעוז חיים	97398	(Article)	12504	20251205161929
193	לביא (קיבוץ)	97458	(Article)	5642	20260206201915
194	אייל (קיבוץ)	98780	(Article)	8475	20260106194222
195	נחשונים	98831	(Article)	6117	20260213170950
196	עינת	98833	(Article)	8648	20260221102148
197	מגל (קיבוץ)	99281	(Article)	6049	20250817174748
198	גליל ים	99378	(Article)	25051	20260216152447
199	יקום (קיבוץ)	99382	(Article)	7640	20251205150314
200	גזר (קיבוץ)	99408	(Article)	10738	20251205145447
201	שעלבים	99412	(Article)	13211	20260301132512
202	נחשון (קיבוץ)	99662	(Article)	5965	20251218073240
203	נגבה	99722	(Article)	11133	20260224164057
204	שדה יואב	99731	(Article)	2539	20260117221724
205	סאסא	99736	(Article)	10097	20251205172112
206	עין כרמל	99737	(Article)	5337	20251231134342
207	עין דור	99740	(Article)	9239	20260214162413
208	נאות מרדכי	99742	(Article)	8316	20251205172550
209	מגדל עוז	99745	(Article)	7912	20260129143326
210	כרמיה (קיבוץ)	100254	(Article)	8644	20251203081435
211	חצור אשדוד	100266	(Article)	6639	20250404130231
212	בארות יצחק	100406	(Article)	23367	20251205150152
213	החותרים	100739	(Article)	5457	20250215192609
214	אלמוג (קיבוץ)	100897	(Article)	5927	20260201104157
215	בית הערבה	100899	(Article)	23200	20260213004201
216	קליה (קיבוץ)	100902	(Article)	15641	20260114200217
217	פרוד (קיבוץ)	101023	(Article)	5281	20251205163139
218	קדרים	101026	(Article)	2502	20251205171551
219	צבעון	101027	(Article)	5292	20251205171602
220	נחשולים	101091	(Article)	7804	20251220080419
221	מעגן מיכאל	101095	(Article)	19967	20251127083646
222	חולתה	101266	(Article)	10083	20251205171018
223	הרדוף (קיבוץ)	101271	(Article)	9267	20260211095332
224	איילת השחר (קיבוץ)	101539	(Article)	26662	20260217045910
225	חפציבה	101541	(Article)	8644	20260116044600
226	שער העמקים	101543	(Article)	6836	20251030111347
227	להבות הבשן	101545	(Article)	7289	20260103092856
228	כפר הנשיא	102761	(Article)	7027	20251205171310
229	תל קציר	102781	(Article)	7967	20251230153437
230	גונן	102785	(Article)	7745	20251221230025
231	מלכיה	103212	(Article)	7613	20251205171417
232	מעגן (קיבוץ)	103846	(Article)	4661	20251205160047
233	בית קשת	103849	(Article)	8007	20251205162602
234	גניגר	103851	(Article)	7371	20251205160953
235	גלעד (קיבוץ)	103857	(Article)	9714	20260102065433
236	חנתון	103976	(Article)	14845	20260101034639
237	יסעור (קיבוץ)	103980	(Article)	4909	20251205170150
238	שריד	104308	(Article)	5846	20251205160348
239	יזרעאל (קיבוץ)	104611	(Article)	5197	20251205164837
240	יפעת	104616	(Article)	18367	20251205160426
241	כפר בלום	104620	(Article)	11983	20260212113033
242	כפר המכבי	104622	(Article)	2604	20251123085030
243	כפר החורש	104693	(Article)	6036	20260123123702
244	יפתח (קיבוץ)	104970	(Article)	19954	20260301033637
245	שניר	105336	(Article)	5248	20251228130851
246	משגב עם	105385	(Article)	40182	20251205173811
247	מענית	105601	(Article)	11541	20260214082503
248	שדה נחמיה	105629	(Article)	15931	20260215082930
249	רגבים	105631	(Article)	4665	20241224114800
250	רמת יוחנן	105634	(Article)	16407	20251123085124
251	רמות מנשה (קיבוץ)	105635	(Article)	10774	20251205163737
252	קבוצת שילר	105636	(Article)	4935	20251221185204
253	ניר דוד (תל-עמל)	108179	(Article)	23799	20251205161732
254	עין חרוד איחוד	108865	(Article)	6201	20251227111333
255	עין חרוד	182029	(Article)	13518	20260301044631
256	עין גדי (קיבוץ)	188426	(Article)	17712	20260211100624
257	גבעת ברנר	229746	(Article)	14816	20251205145431
258	יראון	245351	(Article)	11272	20251205171201
259	גלאון	250275	(Article)	8475	20251211211148
260	ענבר (יישוב)	270823	(Article)	3226	20251212114003
261	לוטן	281250	(Article)	5945	20250820125027
262	קריית ענבים	321492	(Article)	27304	20260206201658
263	קבוצת יבנה	689378	(Article)	7393	20251205150116
264	ניצנים	718848	(Article)	14696	20260210224525
265	חולית (סיני)	924400	(Article)	4792	20250604145642
266	מעגל הקבוצות והקהילות השיתופיות	1005950	(Article)	6958	20231201091813
267	חלוצה (משלט)	1169558	(Article)	4797	20251123085015
268	בית החינוך המשותף דגניה	1192702	(Article)	9625	20260130192311
269	קיבוצים בישראל	1612473	(Article)	114709	20260301194714
270	בית קשת הישנה	2029294	(Article)	2289	20250706015140
271	צבר (קיבוץ)	2247393	(Article)	4051	20251127151533
