מילה,פירוש,הגדרה לתשחץ
אב,הורה זכר,הורה זכר
אג,מאגר מים קטן,מאגר מים קטן
אה,קריאת פליאה,קריאת פליאה
או,מילת ברירה,מילת ברירה
אז,בזמן ההוא,בזמן ההוא
אי,אי בים / שלילה,אי בים
אם,מילת תנאי / הורה,מילת תנאי
אך,אבל,אבל
אל,מילת שלילה / פנייה,מילת שלילה
עם,יחד,יחד
עד,גבול זמן,גבול זמן
על,מעל / לגבי,מעל
פה,כאן / איבר דיבור,כאן
פן,שמא,שמא
צו,הוראה רשמית,הוראה רשמית
קו,קו ישר / מסלול,קו ישר
כן,הסכמה,הסכמה
לא,שלילה,שלילה
לו,בשבילו,בשבילו
לי,עבורי,עבורי
לה,עבורה,עבורה
מן,מתוך,מתוך
מי,מילת שאלה,מי זה?
מה,מילת שאלה,מה זה?
נו,קריאת זירוז,קריאת זירוז
נא,בקשה מנומסת,בקשה מנומסת
שם,במקום ההוא,במקום ההוא
של,שייכות,מילת שייכות
תו,סימן / אות,סימן
אור,ההפך מחושך,ההפך מחושך
און,כוח / עוצמה,כוח
איש,בן אדם,בן אדם
איל,בעל חיים / איל הון,בעל חיים
אפס,כלום,כלום
ארז,סוג עץ,סוג עץ
אות,סימן,סימן
אמן,מי שעוסק באמנות / איש מקצוע,איש אמנות
אשר,מילת קישור,מילת קישור
בדל,חתיכה קטנה,חתיכה קטנה
בין,באמצע,באמצע
בית,מקום מגורים,מקום מגורים
ברז,פתח מים,פתח מים
ברק,הבזק אור,הבזק אור
גדר,מחיצה,מחיצה
גיל,מספר שנים,מספר שנים
גפן,צמח ענבים,צמח ענבים
דגל,סמל מדינה,סמל מדינה
דבש,מתוק מן הדבורים,מתוק מן הדבורים
דור,תקופה,תקופה
הון,עושר,עושר
הדר,יופי,יופי
הוד,פאר,פאר
זאב,טורף ממשפחת הכלביים,טורף ממשפחת הכלביים
זהב,מתכת יקרה,מתכת יקרה
זית,פרי למאכל ושמן,פרי לשמן
חול,גרגרים קטנים,גרגרים קטנים
חום,טמפרטורה גבוהה,טמפרטורה גבוהה
חוף,שפת הים,שפת הים
חדר,חלק בבית,חלק בבית
טוב,ההפך מרע,ההפך מרע
טור,שורה,שורה
ים,גוף מים גדול,גוף מים גדול
יער,מקום עם עצים רבים,מקום עם עצים רבים
יפה,בעל יופי,בעל יופי
כוח,עוצמה,עוצמה
כיס,מקום לכסף,מקום לכסף
לחם,מזון בסיסי,מזון בסיסי
ליל,לילה,לילה
מים,נוזל חיוני,נוזל חיוני
מלך,שליט,שליט
נחל,זרם מים,זרם מים
נמר,טורף מנומר,טורף מנומר
סוס,חיה לרכיבה,חיה לרכיבה
סיר,כלי בישול,כלי בישול
עיר,יישוב גדול,יישוב גדול
עין,איבר ראייה,איבר ראייה
פנס,מנורה ניידת,מנורה ניידת
פרח,חלק בצמח,חלק בצמח
צור,סלע / יצר,סלע
צוק,סלע גבוה,סלע גבוה
קול,צליל,צליל
קיר,קיר של בית,קיר של בית
רוח,תנועת אוויר,תנועת אוויר
רכב,כלי תחבורה,כלי תחבורה
שיר,יצירה מוזיקלית,יצירה מוזיקלית
שלג,משקע חורפי,משקע חורפי
שמש,כוכב מערכת השמש,כוכב מערכת השמש
תור,תור אנשים / סוג ציפור,תור אנשים
אביר,לוחם בימי הביניים,לוחם בימי הביניים
אדון,בעל סמכות,בעל סמכות
אדמה,קרקע,קרקע
אופק,קו המפגש בין שמים וארץ,קו המפגש בין שמים וארץ
אוצר,אוסף יקר,אוסף יקר
איום,אזהרה,אזהרה
אילן,עץ,עץ
בחור,גבר צעיר,גבר צעיר
בוקר,תחילת היום,תחילת היום
ברזל,מתכת חזקה,מתכת חזקה
גדול,בעל ממדים רבים,בעל ממדים רבים
גורל,מזל,מזל
דיון,שיחה בנושא,שיחה בנושא
דירה,מקום מגורים,מקום מגורים
היכל,מבנה גדול,מבנה גדול
היתר,רשות,רשות
זוהר,ברק / אור חזק,אור חזק
חומר,חומר גלם,חומר גלם
חומה,קיר מגן,קיר מגן
חזון,רעיון לעתיד,רעיון לעתיד
יכול,בעל יכולת,בעל יכולת
יוצר,מי שמייצר,מי שמייצר
כביש,דרך סלולה,דרך סלולה
כדור,גוף עגול,גוף עגול
לילה,זמן החשכה,זמן החשכה
לבנה,הירח,הירח
מבנה,בניין,בניין
מדבר,אזור יבש,אזור יבש
מוצר,דבר שנוצר,דבר שנוצר
מורה,מלמד,מלמד
נושא,עניין,עניין
נולד,בא לעולם,בא לעולם
סיבה,גורם,גורם
סיפור,מעשה,מעשה
עמוד,עמוד תמיכה,עמוד תמיכה
ענין,נושא,נושא
פועל,עובד / צורת פועל,עובד
צורה,תבנית,תבנית
קבוע,שאינו משתנה,שאינו משתנה
רופא,מטפל בחולים,מטפל בחולים
רצון,שאיפה,שאיפה
שביל,דרך קטנה,דרך קטנה
שופט,פוסק במשפט,פוסק במשפט
שומר,מי שמגן,מי שמגן
תוכן,מה שיש בתוך דבר,מה שיש בתוך דבר
תורה,ספרי היהדות,ספרי היהדות
