1	ירושלים	325	(Article)	243739	20260301131614
2	ברלין	623	(Article)	69950	20260126184226
3	פראג	747	(Article)	41109	20250930163816
4	ביירות	968	(Article)	37915	20260126131018
5	גיברלטר	2361	(Article)	19846	20260223081922
6	לונדון	2955	(Article)	70187	20260228123409
7	ברן	3246	(Article)	92822	20251027095835
8	ציריך	3247	(Article)	22676	20260202154846
9	בזל	3248	(Article)	24111	20260202120756
10	ז'נבה	3249	(Article)	27282	20260226171111
11	לוזאן	3250	(Article)	12692	20260204052418
12	לוצרן	3251	(Article)	28928	20250808104200
13	דמשק	4290	(Article)	46108	20260124104159
14	סידני	4316	(Article)	18769	20251214125149
15	בגדאד	4361	(Article)	30224	20251124103247
16	ברית ורשה	4609	(Article)	8306	20250514040944
17	חומת ברלין	4617	(Article)	104994	20250813201902
18	הסגר על ברלין	4833	(Article)	8661	20260214104654
19	אתונה	5347	(Article)	35948	20260127053927
20	אוסלו	5443	(Article)	15259	20250913084455
21	טוקיו	6284	(Article)	43733	20260126131025
22	משפט פריז	6287	(Article)	12704	20250714051029
23	קהיר	6859	(Article)	27406	20260225150757
24	מוסקבה	6929	(Article)	104832	20260227075204
25	סנטיאגו דה צ'ילה	8166	(Article)	17682	20251129082851
26	בייג'ינג	9039	(Article)	29570	20260201163115
27	רבאט	9419	(Article)	15946	20260124183136
28	הדור האבוד	10054	(Article)	12681	20251130175711
29	אמסטרדם	10221	(Article)	43103	20260127053926
30	טהראן	10445	(Article)	19546	20260209160219
31	קואלה לומפור	10612	(Article)	13372	20250918135239
32	ברצלונה	10777	(Article)	39811	20260126011606
33	אנקרה	11024	(Article)	40251	20251101015317
34	עמאן	11028	(Article)	28351	20251231121905
35	וושינגטון די. סי.	11499	(Article)	62207	20260126130350
36	דייגו גרסיה	12067	(Article)	15514	20260218221016
37	מינסק	12547	(Article)	35498	20251102091533
38	עזה	12663	(Article)	55228	20260304005033
39	עיר בירה	13023	(Article)	16809	20250826104347
40	מדריד	13081	(Article)	91589	20260227180358
41	אדיס אבבה	13481	(Article)	11253	20250926074550
42	אוטווה	13483	(Article)	21619	20250801005732
43	בוגוטה	13485	(Article)	13839	20251003103528
44	רמאללה	14068	(Article)	15032	20260108151316
45	בנגקוק	14402	(Article)	25210	20251214230315
46	מנילה	14783	(Article)	8846	20250821081341
47	וינה	14784	(Article)	59543	20260126130351
48	תיכרית	14792	(Article)	5048	20250707034149
49	אלג'יר	15183	(Article)	11197	20260304064857
50	בודפשט	15259	(Article)	44674	20260126131016
51	הלסינקי	16450	(Article)	12927	20250905032552
52	אמנת וינה להגנת שכבת האוזון	16902	(Article)	3411	20220805075657
53	א-טור	16958	(Article)	10865	20251205163415
54	ורשה	17484	(Article)	67222	20260220221552
55	מינכן	17974	(Article)	50572	20260128124249
56	קונגרס וינה	18007	(Article)	12593	20260117191925
57	טבח סברה ושתילה	18163	(Article)	55028	20260301013226
58	מקסיקו סיטי	18700	(Article)	49672	20250920081243
59	מונקו	19120	(Article)	20818	20251223092901
60	סאו פאולו	20251	(Article)	59663	20260214121320
61	חומות ירושלים	20293	(Article)	55811	20251223205554
62	ריו דה ז'ניירו	21088	(Article)	50957	20260201005004
63	נג'ף	21287	(Article)	5199	20240430184030
64	פורט סעיד	21401	(Article)	13625	20250707184945
65	קופנהגן	21411	(Article)	20579	20260121194122
66	אודסה	21468	(Article)	44122	20260126130842
67	היסטוריה של אתונה	22466	(Article)	14097	20250916163123
68	אולימפיאדת אתונה (2004)	22913	(Article)	11889	20250907125743
69	אל-עריש	23128	(Article)	10881	20251025194902
70	אלכסנדריה	23334	(Article)	20368	20260204115322
71	רייקיאוויק	23392	(Article)	12255	20251027143423
72	קייב	24260	(Article)	51830	20260306070634
73	משפטי פראג	25473	(Article)	6873	20250206175201
74	לוסקה	25539	(Article)	11664	20250719143044
75	באבי יאר	25970	(Article)	24668	20251210072438
76	משפט בייליס	26164	(Article)	148693	20260101172857
77	תוניס	27644	(Article)	32286	20260216131121
78	ואדוץ	27696	(Article)	3463	20260221204805
79	פור לואי	27732	(Article)	5733	20251026064737
80	קמפלה	27754	(Article)	10082	20250627080624
81	במקו	27820	(Article)	22147	20250130215218
82	אולן בטור	29300	(Article)	13898	20250923183809
83	קייפטאון	29488	(Article)	23688	20251001064525
84	בריסל	29629	(Article)	28082	20260126132922
85	בלגרד
	31668	(Article)	46425	20260131205044
88	בוקרשט	33329	(Article)	69502	20260127053933
89	טשקנט	33350	(Article)	12123	20260306084910
90	לבוב	34056	(Article)	15689	20250708083540
