
#	Title	Page ID	Namespace	Size (bytes)	Last change
1	ירושלים	325	(Article)	243739	20260301131614
2	ברלין	623	(Article)	69950	20260126184226
3	פראג	747	(Article)	41109	20250930163816
4	משנה	754	(Article)	63977	20260306123346
5	ביירות	968	(Article)	37915	20260126131018
6	ניו יורק	986	(Article)	81806	20260222040051
7	אבידוס (מצרים)	1382	(Article)	4645	20241126071403
8	ג'נין	1470	(Article)	25989	20260116124017
9	סנקט פטרבורג	1485	(Article)	64952	20260217054202
10	האקדמיה ללשון העברית	1602	(Article)	49220	20260109142004
11	כרמיאל	2282	(Article)	36542	20260201002050
12	גיברלטר	2361	(Article)	19846	20260223081922
13	קרקוב	2708	(Article)	30166	20260102002730
14	מרכז ז'ורז' פומפידו	2802	(Article)	3760	20260108121340
15	לונדון	2955	(Article)	70187	20260228123409
16	אשדוד	2999	(Article)	159633	20260225083449
17	ברן	3246	(Article)	92822	20251027095835
18	ציריך	3247	(Article)	22676	20260202154846
19	בזל	3248	(Article)	24111	20260202120756
20	ז'נבה	3249	(Article)	27282	20260226171111
21	לוזאן	3250	(Article)	12692	20260204052418
22	לוצרן	3251	(Article)	28928	20250808104200
23	לוגאנו	3252	(Article)	5052	20240428162901
24	נצרת	4005	(Article)	85983	20260301100709
25	מכה	4074	(Article)	19215	20260301165628
26	בית לחם	4203	(Article)	37960	20260220211447
27	דמשק	4290	(Article)	46108	20260124104159
28	ערד	4302	(Article)	57274	20260223091814
29	סידני	4316	(Article)	18769	20251214125149
30	בגדאד	4361	(Article)	30224	20251124103247
31	ברדיה (עיר)	4388	(Article)	1559	20230908005246
32	פרוטוקול קיוטו	4461	(Article)	15187	20251029082517
33	חולון	4728	(Article)	107826	20260305054807
34	רומיאו ויוליה	4794	(Article)	28272	20260121083739
35	הסגר על ברלין	4833	(Article)	8661	20260214104654
36	קמפוס	4861	(Article)	3580	20251212224347
37	אופקים	5334	(Article)	27901	20260217112630
38	אתונה	5347	(Article)	35948	20260127053927
39	אוסלו	5443	(Article)	15259	20250913084455
40	ספרטה	5455	(Article)	60951	20260118183053
41	מבשרת ציון	5477	(Article)	39563	20251208110646
42	קריית הוותיקן	5479	(Article)	23071	20260301004750
43	באר שבע	5687	(Article)	88889	20260302101636
44	צפת	5712	(Article)	103708	20260301004810
45	ראשון לציון	5720	(Article)	171572	20260218080036
46	מחתרת בת עין	6123	(Article)	5469	20251022203343
47	אילת	6146	(Article)	88360	20260306064942
48	דימונה	6165	(Article)	24839	20260301004830
49	עיר עולם	6281	(Article)	11563	20260103094528
50	טוקיו	6284	(Article)	43733	20260126131025
51	חברון	6292	(Article)	73336	20260219174749
52	נגסאקי	6479	(Article)	6764	20250902062129
53	הגולם מפראג	6552	(Article)	39705	20260217192841
54	טבח כפר קאסם	6741	(Article)	30774	20260305201532
55	כפר קאסם	6742	(Article)	12685	20260201154834
56	פרעות קישינב	6836	(Article)	20339	20260121075519
57	קהיר	6859	(Article)	27406	20260225150757
58	מוסקבה	6929	(Article)	104832	20260227075204
59	עיר	7009	(Article)	16513	20260126130557
60	טנוצ'טיטלאן	7136	(Article)	9861	20250803092715
61	פיזה	7289	(Article)	14001	20250728064023
62	יבנה	7525	(Article)	69098	20260301100351
63	אום אל-פחם	7724	(Article)	21403	20260131123748
64	אור יהודה	7725	(Article)	27819	20260107182540
65	אור עקיבא	7726	(Article)	25966	20260202093935
66	אריאל	7727	(Article)	37977	20251201005416
67	אשקלון	7728	(Article)	71767	20260225083708
68	באקה-ג'ת	7729	(Article)	5419	20230626070547
69	בית שאן	7730	(Article)	51647	20260224122041
70	בית שמש	7731	(Article)	75117	20260302033203
71	ביתר עילית	7732	(Article)	33415	20260227054904
72	בני ברק	7733	(Article)	139312	20260227105339
73	בת ים	7734	(Article)	70204	20260203091215
74	הוד השרון	7736	(Article)	46998	20260224135817
75	הרצליה	7737	(Article)	117228	20260224132621
76	חדרה	7739	(Article)	60942	20260302132921
77	טבריה	7740	(Article)	155399	20260302141342
78	טייבה	7741	(Article)	16591	20251009011534
79	טירה (עיר)	7742	(Article)	12436	20260204104112
80	טירת כרמל	7743	(Article)	18228	20260304162109
81	טמרה	7744	(Article)	9144	20260127124822
82	יהוד	7745	(Article)	20562	20260226093243
83	כפר סבא	7746	(Article)	99046	20260303114611
84	לוד	7747	(Article)	92400	20260126130551
85	מגדל העמק	7748	(Article)	22653	20260125151227
86	מודיעין-מכבים-רעות	7749	(Article)	79671	20260224143931
87	מעלה אדומים	7750	(Article)	35711	20260123174505
